temperature,cpu_usage,memory_usage,network_traffic,failure
52.15,23.25,58.45,266.73,0
60.9,69.07,38.23,463.58,0
47.53,44.12,56.02,143.68,0
53.36,13.92,83.82,472.11,0
47.4,57.82,63.96,223.28,0
52.29,63.46,52.9,319.48,0
61.72,1.33,95.6,320.62,0
41.18,30.16,75.87,248.75,0
58.48,43.01,69.7,208.55,1
56.9,58.22,60.71,255.62,1
50.25,35.72,68.14,178.25,0
43.43,30.02,68.73,535.44,0
55.58,58.09,15.71,242.26,0
50.76,36.57,62.11,439.07,1
56.86,54.76,52.11,423.26,0
55.17,24.99,46.0,343.55,0
67.81,20.66,51.48,283.72,0
53.09,58.59,26.99,323.25,0
46.81,49.55,22.52,368.66,0
56.43,61.6,77.44,312.06,1
56.76,35.41,63.32,111.99,0
65.87,30.69,11.57,81.8,0
61.68,69.49,44.63,481.08,1
57.85,17.59,70.85,0.0,0
66.71,67.53,49.96,323.48,1
45.49,68.77,77.41,271.8,1
49.88,60.48,73.9,319.3,0
47.59,32.62,30.58,163.2,0
51.88,30.3,52.42,342.08,0
43.99,41.22,46.93,324.72,0
60.08,21.69,29.99,631.32,0
53.22,27.69,28.82,315.6,0
43.23,56.61,40.49,461.79,0
46.88,56.69,43.46,120.16,0
57.51,26.11,60.1,422.41,0
61.71,57.17,73.8,327.15,1
70.97,53.18,64.25,332.37,0
78.31,72.18,68.51,334.03,1
58.32,55.24,50.2,504.76,0
47.08,64.05,65.85,330.61,0
37.94,53.59,52.33,205.91,0
57.14,62.64,47.05,226.09,0
48.5,21.83,89.15,398.06,0
51.68,42.81,13.05,353.69,0
50.1,44.3,21.28,116.34,0
53.87,40.61,61.89,361.76,0
63.53,52.99,50.23,170.12,0
56.26,56.42,29.13,352.59,0
53.73,52.06,36.02,203.33,0
46.71,41.82,38.36,266.22,0
41.6,31.76,71.06,234.62,0
51.11,64.75,76.82,482.27,1
54.57,51.3,84.51,348.22,1
69.14,26.66,26.4,451.33,0
56.04,41.51,30.39,647.43,0
62.86,13.62,29.16,305.62,0
51.01,45.64,78.2,480.24,1
45.52,41.43,62.51,216.07,0
47.28,34.66,56.44,450.59,0
49.2,73.52,59.13,203.1,0
72.03,24.19,53.98,297.79,0
48.43,57.72,34.82,364.43,0
61.71,84.36,64.24,383.31,1
47.78,64.39,51.65,147.29,0
62.45,44.43,33.39,195.96,0
58.08,24.59,65.34,373.37,0
53.75,20.48,47.34,255.87,0
54.67,37.59,59.09,132.32,0
49.76,32.63,52.75,291.48,0
58.57,32.05,71.04,285.72,0
51.36,39.13,58.96,321.23,0
45.2,43.16,39.09,363.51,0
44.78,53.73,60.8,355.88,1
56.38,22.72,61.38,207.82,0
67.63,32.72,64.2,250.7,0
56.28,42.13,73.65,411.33,0
54.05,41.48,43.91,234.82,0
57.29,78.06,67.02,252.59,1
65.45,49.18,23.95,119.49,0
56.76,15.96,52.84,296.56,0
51.71,52.53,50.06,341.43,0
63.85,54.82,81.06,62.94,1
58.43,42.75,52.19,171.57,0
67.29,23.16,65.94,129.39,0
56.47,76.64,23.29,394.6,0
45.2,25.74,48.67,70.52,0
44.05,56.89,39.77,290.56,0
68.21,48.6,99.56,386.14,1
68.79,55.81,43.0,322.54,1
53.56,75.72,56.32,247.2,0
51.93,55.11,57.28,341.58,0
66.69,34.94,26.39,424.44,0
46.14,64.91,45.53,287.09,0
47.84,33.64,62.29,31.33,0
60.15,47.94,56.54,437.73,0
51.84,21.72,13.59,348.03,0
54.96,26.4,44.79,296.03,0
53.69,45.92,73.37,62.36,0
57.7,51.63,65.59,264.2,0
66.26,14.36,76.92,194.94,0
55.72,53.95,37.26,154.05,0
60.15,30.25,78.06,283.63,0
38.6,68.03,54.2,235.68,0
54.61,38.66,83.66,243.59,1
48.25,24.77,55.06,388.76,0
45.25,46.36,18.15,330.67,0
47.97,28.51,70.29,240.54,0
52.33,67.84,47.02,225.31,0
62.33,45.01,48.23,245.42,0
44.39,42.27,28.84,270.31,0
55.25,55.65,84.2,370.09,1
51.13,26.91,45.62,174.89,0
52.38,21.8,83.35,475.01,1
63.02,52.35,47.24,370.17,0
59.3,25.21,38.3,0.0,0
65.7,25.2,78.75,310.24,0
53.76,60.06,53.68,424.89,1
49.43,54.45,53.86,346.64,0
53.21,22.43,31.93,250.52,0
56.94,33.86,46.76,292.67,0
56.41,28.73,62.72,321.4,0
46.32,76.97,31.61,392.35,0
55.72,61.31,45.3,130.19,0
56.83,37.42,47.43,227.4,0
75.14,55.37,56.2,496.63,1
70.01,20.59,81.63,303.95,1
48.17,32.89,49.6,483.35,0
52.7,46.89,42.57,658.27,0
43.29,53.14,100.0,240.96,0
50.27,43.25,47.2,156.33,0
57.52,49.46,51.57,268.14,0
64.65,46.41,48.56,431.88,0
49.17,42.06,50.02,448.67,0
49.77,39.67,56.4,572.64,0
37.82,37.33,71.57,295.58,0
53.7,49.17,62.27,358.57,0
46.5,52.39,74.39,214.59,0
50.76,48.57,73.79,0.0,0
47.99,23.79,58.75,295.24,0
54.25,27.02,61.77,161.55,0
40.94,52.18,74.96,377.2,0
43.26,71.49,35.0,74.23,0
72.03,47.74,99.97,211.28,1
44.7,37.59,45.77,332.12,0
46.23,49.04,48.68,344.68,0
69.7,24.54,33.19,294.31,0
78.24,68.56,33.72,524.08,1
45.63,48.36,72.53,488.34,1
52.05,32.95,95.86,217.88,0
57.73,42.0,44.79,493.13,0
68.83,35.51,61.25,511.46,0
47.11,68.61,58.96,285.13,0
53.04,41.36,73.0,305.45,0
61.22,47.8,94.94,293.91,1
58.48,55.33,82.38,222.6,1
51.99,31.67,50.7,234.52,0
53.93,48.49,64.52,458.32,0
44.0,49.94,66.31,352.49,1
53.09,17.03,54.64,233.5,0
52.87,49.55,35.27,188.88,0
56.86,44.18,40.62,209.03,0
50.56,47.34,75.67,280.34,0
58.77,45.64,77.52,409.58,1
63.1,49.67,51.26,196.79,0
56.24,69.07,59.7,408.2,1
57.81,23.77,76.55,323.63,1
55.43,38.84,24.32,317.14,0
55.0,57.0,46.97,423.1,0
49.23,53.66,91.32,401.2,0
57.53,53.27,60.39,131.46,0
54.22,94.56,34.67,169.92,0
71.75,56.05,57.11,272.46,0
67.59,65.36,73.39,342.72,1
58.09,39.47,9.16,463.75,0
48.9,27.13,58.17,307.81,0
46.1,39.34,48.3,504.44,0
64.53,57.82,25.44,215.2,0
57.1,52.32,56.47,235.49,0
58.84,52.26,52.54,263.32,1
41.04,41.14,54.57,201.93,0
62.42,38.27,48.73,439.13,0
58.64,41.76,36.62,0.0,0
46.12,58.04,28.81,239.57,0
51.23,60.13,42.57,437.78,0
57.11,26.89,70.47,262.52,0
55.42,58.72,59.2,428.75,1
52.66,33.29,53.75,563.72,1
54.17,53.44,36.28,309.65,0
52.98,41.54,48.27,440.27,0
56.22,73.18,68.27,590.3,1
66.77,37.47,64.09,348.25,1
34.47,48.22,46.41,294.23,0
53.11,55.92,7.99,408.3,0
56.41,29.27,42.85,442.11,0
57.37,43.69,46.31,295.34,0
52.02,40.2,38.67,241.94,0
40.95,35.75,47.56,506.09,0
57.62,37.08,69.7,267.53,0
68.82,65.02,54.33,443.25,1
42.73,34.23,72.81,331.54,0
61.91,55.2,27.85,519.24,0
52.37,50.66,49.51,198.11,0
54.51,19.85,20.1,197.88,0
46.58,54.35,47.32,402.54,0
52.32,19.56,36.18,164.36,0
65.4,56.31,78.06,314.0,0
59.66,35.87,62.37,485.81,0
68.86,45.15,73.27,85.82,0
64.42,21.7,47.27,348.26,0
58.51,47.2,36.65,445.41,0
68.95,61.69,36.07,296.89,1
58.51,30.47,59.78,188.75,0
61.62,34.07,87.58,268.49,0
52.63,53.18,62.42,199.38,1
55.53,53.63,48.25,308.3,0
49.42,1.18,51.6,266.8,0
62.92,81.28,54.44,238.41,1
45.57,54.51,91.48,355.94,0
61.26,57.54,77.2,489.49,1
53.47,42.42,59.68,339.34,0
64.37,11.6,56.98,461.24,0
61.01,57.14,60.39,489.46,0
69.57,34.83,63.9,229.6,0
60.85,54.79,47.56,332.98,0
42.42,41.06,39.81,249.01,0
54.46,49.28,73.58,122.14,0
45.62,31.05,55.4,342.69,0
50.85,60.56,72.08,173.74,0
67.09,23.61,84.63,358.12,1
60.1,85.42,64.37,113.29,1
49.41,85.28,61.45,320.52,1
46.89,74.39,100.0,111.51,1
55.26,67.96,58.73,380.86,0
45.27,43.48,35.37,252.79,0
49.63,66.0,49.94,241.22,0
57.5,43.27,82.93,435.18,1
64.24,17.04,31.7,261.41,0
59.87,72.06,41.46,313.3,0
36.67,65.32,74.92,276.17,0
57.43,44.44,50.11,360.89,0
55.58,22.95,53.02,425.15,0
58.31,34.45,74.32,400.28,1
67.93,12.22,42.1,244.0,0
38.49,62.01,28.57,445.09,0
50.27,16.14,30.0,190.04,0
59.73,50.16,65.47,210.9,1
42.35,29.81,59.66,284.66,0
66.81,19.32,42.53,425.62,0
57.95,49.29,34.14,159.58,0
61.77,38.99,50.13,406.98,1
50.43,60.09,75.1,293.43,0
61.51,22.18,39.96,247.95,0
63.55,31.37,43.07,431.74,0
56.86,2.02,33.57,203.68,0
56.88,5.68,48.39,574.28,0
57.16,77.37,61.09,278.8,0
48.09,82.5,93.07,317.98,1
53.82,46.67,58.92,485.15,1
53.78,30.17,54.03,321.11,0
58.07,39.63,70.53,442.66,0
63.0,60.72,67.53,65.62,0
46.53,35.74,44.6,246.89,0
54.0,49.28,96.44,347.61,0
66.85,44.77,54.56,429.77,0
49.05,34.76,59.25,392.36,0
48.42,35.53,64.92,381.12,0
56.62,50.28,61.23,427.33,0
61.76,27.42,82.46,357.0,0
55.09,53.13,44.38,42.82,0
65.63,36.51,69.1,473.06,0
61.85,47.29,57.96,199.48,0
61.73,69.91,72.69,337.64,1
59.43,41.97,51.13,321.72,0
73.62,61.56,48.69,305.68,1
53.36,12.74,68.18,167.28,0
38.97,36.53,61.44,67.36,0
67.83,45.5,40.23,179.71,0
51.34,79.62,79.22,399.15,1
55.86,9.72,68.19,126.41,0
65.48,43.27,53.66,194.37,0
42.18,71.22,46.57,350.17,0
44.99,30.87,61.55,176.71,0
42.19,41.17,66.89,234.83,0
48.65,50.97,26.31,309.82,0
58.52,48.32,61.76,333.92,1
59.19,73.18,66.75,174.33,0
57.21,53.07,12.66,316.91,0
43.7,68.9,58.53,347.86,0
36.52,38.52,67.5,147.22,0
55.43,31.67,65.46,325.78,0
51.23,40.94,69.44,214.01,1
58.68,24.14,49.1,314.87,0
60.62,53.7,36.28,386.77,0
56.11,38.05,22.6,278.85,0
61.08,32.91,74.66,409.61,1
56.83,53.98,67.66,394.9,0
59.24,24.41,76.03,408.94,0
49.36,58.87,41.95,348.37,1
53.56,36.39,69.47,432.09,0
56.57,65.86,27.95,346.21,0
61.56,37.93,39.35,99.93,0
51.85,56.37,57.27,204.95,0
59.17,48.23,66.94,274.65,0
52.87,58.39,85.22,289.53,0
54.06,46.98,50.68,342.93,0
61.64,15.06,39.42,203.17,0
39.06,63.16,38.49,541.05,0
44.63,43.42,42.62,287.71,0
43.14,59.21,94.98,299.08,0
36.33,57.42,68.62,219.51,0
49.57,31.08,75.03,179.59,0
61.0,28.53,50.7,284.84,0
52.72,56.8,54.97,303.31,1
56.58,39.54,67.59,289.57,0
63.71,61.86,45.9,498.62,1
65.62,41.79,49.76,284.84,0
54.45,63.42,42.86,289.69,0
65.83,52.62,46.95,397.84,0
55.74,50.18,55.88,279.47,0
48.3,38.27,40.21,364.72,0
50.24,49.18,60.15,146.51,0
43.16,66.47,60.12,147.46,0
47.89,44.02,51.77,314.65,0
52.14,54.56,40.11,272.21,0
61.43,45.83,56.89,202.92,0
68.77,47.24,45.91,314.62,0
43.94,76.02,55.84,325.09,0
58.14,66.63,74.77,214.81,1
46.68,46.43,32.45,237.74,0
58.8,48.86,94.12,325.99,1
53.95,32.37,53.69,177.47,0
40.35,41.89,62.41,227.52,0
62.43,50.57,41.45,364.07,0
50.16,60.31,75.56,297.14,0
50.73,58.49,52.74,242.74,0
46.44,25.03,47.91,191.63,0
49.77,62.59,44.64,178.41,0
58.42,43.4,50.17,284.19,0
53.49,27.23,62.53,543.1,0
57.63,69.05,58.11,367.89,1
57.9,71.34,54.28,140.06,0
65.57,49.75,42.19,384.87,0
52.26,57.76,41.15,208.93,0
43.19,58.81,46.7,299.42,0
63.54,70.12,63.28,229.34,0
52.35,58.11,66.92,542.73,1
63.92,21.1,69.35,163.91,0
58.07,81.18,54.97,337.63,1
53.95,64.18,61.9,217.76,0
57.79,35.83,51.97,388.66,0
70.61,26.47,23.64,335.21,0
71.62,54.09,51.11,450.55,1
55.56,39.99,48.24,386.17,0
56.28,50.94,36.3,216.78,1
63.61,58.38,44.79,649.94,1
48.23,34.8,57.43,366.65,0
57.66,24.91,34.6,233.92,0
54.79,51.94,42.21,324.66,0
57.51,35.4,82.86,375.7,0
48.33,47.63,26.15,371.14,0
42.28,20.82,51.7,359.52,0
38.42,40.46,34.01,415.98,0
46.06,57.87,41.47,404.18,0
51.33,55.91,51.44,198.29,0
52.65,30.81,37.22,552.97,0
70.5,23.97,65.33,536.27,0
63.85,45.28,79.32,396.12,1
47.3,55.1,70.15,304.64,0
57.78,52.29,73.44,306.71,1
51.74,35.78,30.16,261.15,0
52.73,50.36,50.62,276.67,0
56.48,72.04,63.41,37.59,0
59.95,48.69,70.68,483.63,1
52.29,15.6,86.56,441.29,0
63.51,48.66,74.24,98.8,0
45.86,81.79,71.14,406.8,0
55.05,21.83,100.0,299.07,0
75.78,45.54,56.73,276.11,1
56.78,40.93,49.8,359.14,0
66.47,46.73,58.19,90.87,0
55.73,48.5,38.53,298.65,0
59.65,65.52,56.22,309.54,1
54.55,46.53,23.92,309.65,0
53.64,67.99,45.47,135.9,0
48.76,42.88,52.92,353.63,0
58.44,38.7,72.09,427.18,0
48.19,32.95,75.0,348.88,0
60.32,12.29,37.65,272.5,0
63.68,49.96,92.37,622.68,1
57.93,81.97,57.67,189.05,0
52.71,53.25,59.32,392.81,0
58.63,57.36,25.88,329.19,0
52.53,37.57,43.84,541.48,0
62.48,40.6,73.9,346.41,0
40.35,62.72,58.06,372.14,0
52.32,81.16,56.94,360.69,1
39.07,71.78,59.09,173.0,0
43.04,59.49,29.02,195.73,0
65.91,45.63,53.26,266.92,0
62.16,48.77,80.35,414.89,1
49.24,31.44,74.56,327.97,0
42.98,18.93,52.75,275.19,0
31.28,24.72,83.15,464.66,0
50.65,45.9,32.34,62.11,0
74.36,39.74,37.51,144.5,0
58.48,18.55,88.55,0.41,0
50.52,44.33,65.4,445.0,1
58.72,39.27,49.8,288.39,0
42.51,23.89,54.0,415.96,0
52.62,38.34,40.48,286.89,0
55.8,39.22,59.98,422.78,1
54.31,33.9,58.55,284.79,0
61.33,61.68,55.36,349.19,1
57.76,10.75,34.12,331.62,0
60.35,9.26,59.77,340.52,0
49.49,45.06,45.47,502.17,0
62.18,46.73,37.25,105.07,0
68.03,52.28,77.8,291.79,1
47.24,35.3,94.05,323.76,0
47.9,28.48,89.97,305.79,0
65.69,44.87,66.7,252.25,0
53.47,37.05,50.22,235.83,0
66.23,72.92,53.73,483.6,1
51.46,39.16,62.3,291.51,0
66.64,44.04,47.44,592.55,1
56.05,89.56,78.74,363.39,1
57.07,41.49,18.36,265.24,0
67.52,55.01,49.68,366.32,0
52.11,56.63,69.42,313.07,0
47.47,58.17,39.79,461.04,0
51.41,50.21,50.68,159.87,0
58.62,48.49,65.69,83.86,0
42.47,46.81,82.33,343.32,0
60.1,34.63,31.71,400.28,0
50.69,50.86,30.37,334.31,0
64.18,81.52,37.97,380.7,0
35.85,66.79,27.32,363.05,0
48.71,50.47,28.61,122.35,0
41.51,60.4,37.49,333.75,0
48.39,29.35,77.2,458.01,0
56.98,40.31,49.38,320.61,0
53.57,62.06,55.56,142.81,0
52.97,71.77,37.8,259.94,0
53.73,31.12,66.4,366.81,1
56.63,36.3,88.76,515.48,0
46.93,84.26,39.02,65.24,0
60.65,46.73,86.05,343.35,0
60.3,77.82,61.56,188.14,0
58.08,48.72,55.3,360.93,0
59.45,49.43,62.2,370.54,0
57.37,39.5,62.03,272.02,0
71.28,61.97,88.43,375.79,1
54.3,69.44,64.36,436.79,1
52.54,26.37,64.74,280.25,0
48.97,38.66,47.41,139.54,0
46.74,61.47,70.1,471.07,1
45.04,42.67,37.78,399.44,0
47.89,36.12,56.96,367.65,0
54.43,63.17,100.0,217.08,1
57.67,64.86,9.92,418.25,0
55.41,36.91,59.2,545.09,0
48.88,48.82,59.89,285.44,0
62.2,23.25,50.89,311.34,0
60.92,28.88,51.32,172.18,0
53.72,47.23,56.65,213.65,0
49.78,45.57,50.46,171.05,0
59.39,27.6,59.0,315.7,0
56.5,32.11,46.22,259.11,0
43.41,25.83,91.4,344.74,0
54.46,53.19,50.46,192.97,0
57.1,9.58,65.25,279.89,0
47.8,26.79,42.96,185.58,0
56.52,11.47,71.8,322.51,0
43.36,52.54,68.2,104.12,0
65.69,12.55,62.55,318.19,0
64.98,45.57,36.51,266.55,0
52.98,74.51,41.46,321.72,0
57.91,75.12,85.35,101.73,1
35.72,12.49,41.26,378.57,0
45.75,50.37,66.54,264.15,0
52.65,27.2,38.0,326.05,0
46.42,23.52,73.15,75.59,0
60.72,42.96,42.64,150.87,0
70.98,67.11,37.66,253.18,0
45.59,55.79,42.18,465.06,0
48.3,32.13,45.03,363.27,0
56.88,57.69,62.28,315.59,1
67.89,4.61,56.25,189.08,0
45.22,31.45,35.29,167.25,0
56.99,30.17,54.5,333.2,0
69.57,46.41,34.42,384.08,0
41.79,41.35,66.58,325.08,0
44.75,42.45,69.88,505.15,1
51.61,41.86,54.57,218.1,0
50.84,45.4,59.89,321.52,0
61.5,54.72,86.54,96.82,1
56.93,47.69,52.16,325.33,0
40.8,39.88,38.0,476.32,0
59.12,52.23,65.43,175.02,1
50.38,59.87,34.61,401.06,0
65.2,34.99,51.21,472.92,0
49.98,43.93,44.22,217.23,0
49.91,65.91,42.37,356.03,0
59.33,25.15,50.5,489.56,0
61.1,77.48,71.2,327.66,1
58.58,20.9,74.9,394.41,0
41.52,38.78,71.67,87.13,0
59.3,27.9,61.05,371.66,0
46.73,84.38,50.36,362.07,0
56.88,35.94,12.56,140.85,0
43.61,35.98,61.62,184.28,0
58.57,38.33,13.97,372.48,0
48.55,46.72,20.38,263.67,0
44.74,39.09,52.09,433.43,0
60.71,42.61,59.76,337.29,1
56.93,0.0,46.88,306.77,0
50.09,46.03,82.64,279.55,0
66.61,45.32,63.32,335.12,0
51.47,63.69,50.51,396.35,0
55.26,68.56,79.95,364.06,1
57.15,41.62,83.17,249.24,0
50.04,59.69,64.23,448.73,1
58.77,25.17,41.05,378.92,0
50.73,58.81,45.1,346.23,1
51.71,34.7,28.96,311.0,0
65.9,23.68,54.24,360.01,0
46.68,41.66,36.1,80.2,0
35.7,70.21,49.08,328.96,0
67.89,48.26,59.69,496.82,1
75.39,71.94,19.29,326.4,1
51.76,31.52,32.25,310.02,0
39.51,63.86,45.88,228.49,0
52.52,33.26,54.05,359.13,0
52.71,49.06,46.11,276.59,0
53.48,48.9,50.13,457.12,0
46.09,56.91,42.29,196.37,0
59.64,49.51,28.91,245.72,0
59.2,31.69,45.37,227.89,0
43.04,60.85,51.16,520.15,0
60.59,76.17,49.41,277.23,0
71.42,34.49,57.01,234.23,1
56.38,11.97,62.54,49.13,0
52.3,53.99,67.27,190.64,0
53.86,39.04,43.6,363.35,0
59.92,42.64,26.64,362.87,0
41.15,55.01,77.89,221.86,1
56.32,36.78,61.94,228.52,0
51.88,40.16,37.82,523.18,0
69.78,43.2,60.0,623.57,0
53.61,71.46,74.22,437.97,1
68.34,45.54,86.13,487.11,0
46.17,22.76,59.51,512.57,0
59.7,23.47,74.07,565.75,0
57.56,47.51,33.23,263.77,0
48.05,24.67,54.35,194.61,0
56.42,16.88,48.97,520.02,0
64.7,56.44,61.17,184.28,0
52.41,57.32,84.0,176.57,0
41.46,38.37,59.5,179.32,0
54.86,50.29,38.12,284.23,0
47.78,48.39,32.26,61.87,0
52.26,55.84,84.62,128.03,0
54.35,55.89,64.25,225.32,1
41.35,0.0,63.07,156.49,0
42.07,40.67,48.81,427.49,0
58.86,54.32,59.82,300.8,0
50.82,37.61,37.23,369.24,0
34.48,45.65,61.97,356.1,0
61.28,58.51,33.85,275.19,0
57.18,46.46,48.53,418.58,0
49.29,72.14,43.43,354.26,0
44.47,65.29,0.0,261.79,0
61.69,42.87,48.76,97.93,0
57.79,41.44,38.82,362.48,0
74.06,0.0,51.21,148.64,0
58.36,39.12,55.03,345.63,0
58.1,20.64,86.82,309.47,0
53.66,48.98,60.48,136.76,0
61.53,47.75,61.01,331.01,0
60.0,57.53,63.92,322.96,0
65.01,70.14,70.69,323.39,1
50.83,44.53,63.18,317.64,0
51.52,86.05,60.07,221.71,1
51.17,49.18,67.8,370.99,1
61.33,21.42,11.32,217.48,0
66.99,34.88,92.6,171.05,0
51.33,38.29,83.62,380.96,0
51.6,55.66,58.91,412.37,0
57.51,27.95,29.57,372.74,0
53.03,39.64,76.79,275.14,0
62.62,42.1,42.51,67.26,0
36.99,36.93,64.61,477.8,0
48.39,59.61,31.91,65.39,0
48.74,56.54,95.08,370.33,1
36.44,66.0,29.04,553.23,0
47.29,39.04,56.24,317.94,0
47.68,66.65,16.8,334.95,0
53.39,20.45,54.26,345.52,0
63.9,20.01,47.34,323.78,0
53.04,23.15,75.47,582.07,0
46.75,45.17,47.34,198.82,0
54.54,66.64,75.5,183.75,0
63.39,34.16,36.57,260.7,0
47.19,36.42,49.92,508.9,0
47.72,41.11,50.29,230.77,0
59.47,55.31,63.92,351.64,1
53.23,36.4,61.63,428.52,0
60.18,35.4,68.0,393.48,0
54.89,20.78,59.8,422.17,0
60.61,34.71,66.9,470.16,0
46.72,66.19,38.84,336.99,0
54.9,46.64,62.0,245.15,1
53.31,31.68,83.95,317.67,0
45.27,67.25,24.76,259.31,0
42.49,34.47,63.8,602.59,0
60.49,70.56,67.18,236.08,1
52.19,70.26,81.3,357.98,1
46.82,46.01,68.07,119.9,0
54.23,18.03,56.81,315.94,0
64.02,86.21,62.74,265.55,0
36.75,51.97,41.77,381.08,0
43.03,39.17,48.02,384.21,0
47.62,62.21,30.96,470.04,0
66.69,57.64,81.77,460.51,1
57.26,68.6,63.1,292.04,0
61.14,33.08,38.51,186.67,0
45.88,50.73,59.88,200.75,0
46.04,23.65,75.87,336.33,0
58.58,56.99,72.87,318.93,0
55.47,44.59,38.3,330.95,0
59.39,50.06,0.0,235.79,0
53.5,42.37,62.12,472.47,0
57.23,40.48,39.04,123.28,0
56.26,29.37,66.2,229.14,0
61.22,59.23,72.1,170.75,1
61.46,71.81,75.05,274.92,1
42.04,34.98,86.41,449.59,1
37.02,54.96,77.25,265.47,0
63.01,52.78,86.49,312.18,1
64.5,45.15,79.82,379.71,1
46.84,17.52,81.39,259.76,0
40.12,21.57,54.26,345.92,0
55.79,30.94,31.79,330.09,0
62.45,6.5,99.68,164.3,0
69.38,70.34,56.13,244.28,0
59.13,51.62,77.12,342.55,1
52.03,44.46,45.1,453.86,1
47.85,5.58,72.35,453.75,0
55.09,12.17,10.99,551.46,0
52.61,44.96,47.61,358.25,0
46.88,80.47,53.23,250.4,0
71.39,32.42,63.33,292.33,0
69.28,60.55,74.3,286.35,1
64.09,36.36,35.31,251.05,0
47.63,45.99,66.88,345.95,0
61.84,66.86,77.08,351.54,1
60.12,38.77,97.23,159.15,0
58.54,32.58,67.72,430.58,0
65.0,70.53,46.73,79.58,0
60.08,45.82,32.11,273.3,0
60.92,64.64,87.93,437.92,1
60.1,32.67,68.27,372.89,0
57.73,70.32,54.6,257.16,1
40.73,49.93,25.84,536.26,0
55.67,52.83,38.24,247.19,0
50.55,47.37,66.36,59.77,0
44.76,35.9,61.37,354.33,0
68.45,44.97,19.97,86.58,0
68.83,37.03,66.39,200.23,0
65.87,62.27,26.77,374.73,0
57.04,41.34,79.37,244.7,0
65.81,18.06,58.75,369.67,0
